datetime,competition,match,FT result,h2hmatches,h2hgoals,h2h goals/match,total goals,to bet,btts,goalsFest
29/11/2024 00:00,Magdeburg - Hertha,GoalsFest,"1,75",5,GREEN,,,TRUE,,
01/12/2024 00:00,Bregenz - Kapfenberger,GoalsFest,"1,9",5,RED,,,TRUE,,
01/12/2024 00:00,NEC - Ajax,GoalsFest,2,5,GREEN,,,TRUE,,
01/12/2024 00:00,Arouca - Benfica,GoalsFest,"2,2",5,RED,,,TRUE,,
01/12/2024 00:00,OFI Crete - Olympiacos,GoalsFest,"2,4",5,RED,,,TRUE,,
01/12/2024 00:00,AZ Alkmaar II - MVV Maastricht,GoalsFest,"1,7",5,GREEN,,,TRUE,,
05/12/2024 00:00,Bournemouth - Tottenham,GoalsFest,"1,55",5,RED,,,TRUE,,
06/12/2024 00:00,Elversberg - Nurnberg,GoalsFest,"1,75",5,GREEN,,,TRUE,,
06/12/2024 00:00,Paderborn - Schalke 04,GoalsFest,"1,85",5,GREEN,,,TRUE,,
07/12/2024 00:00,Girona - Real Madrid,GoalsFest,"1,85",5,RED,,,TRUE,,
08/12/2024 00:00,Zeleznicar - PArtizan,GoalsFest,"2,1",5,RED,,,TRUE,,
07/12/2024 00:00,Brentford - Newcastle,GoalsFest,"1,72",5,GREEN,,,TRUE,,
07/12/2024 00:00,Bayern - Heidenheim,GoalsFest,"2,25",5,GREEN,,,TRUE,,
07/12/2024 00:00,Bochum - Werder Bremen,GoalsFest,"1,8",5,RED,,,TRUE,,
08/12/2024 00:00,Fulham - Arsenal,GoalsFest,"2,1",5,RED,,,TRUE,,
08/12/2024 00:00,AZ Alkmaar - Ajax,GoalsFest,"1,85",5,GREEN,,,TRUE,,
08/12/2024 00:00,Willem II - Herenveen,GoalsFest,"2,4",5,GREEN,,,TRUE,,
08/12/2024 00:00,Panserraikos - PAOK,GoalsFest,"2,25",5,GREEN,,,TRUE,,
19/12/2024 00:00,Heidenheim - St Gallen,GoalsFest,"1,85",5,RED,,,TRUE,,
21/12/2024 00:00,Preussen Munster - SSV Ulm,GoalsFest,"2,4",5,RED,,,TRUE,,
22/12/2024 00:00,Sparta Rotterdam - Ajax,GoalsFest,2,5,RED,,,TRUE,,
03/01/2025 00:00,Perth Glory - Western United,GoalsFest,"1,79",5,GREEN,,,TRUE,,
06/01/2025 00:00,Schalke - Aarau,GoalsFest,"1,85",5,GREEN,,,TRUE,,
10/01/2025 00:00,Eindhoven - Volendam,GoalsFest,"1,8",5,GREEN,,,TRUE,,
11/01/2025 00:00,Hoffenheim - Wolfsburg,GoalsFest,"1,82",5,RED,,,TRUE,,
12/01/2025 00:00,Augsburg - Stuttgart,GoalsFest,2,5,RED,,,TRUE,,
13/01/2025 00:00,Konyaspor - Fenerbahce,GoalsFest,"2,23",5,GREEN,,,TRUE,,
13/01/2025 00:00,Az Alkmaar II - Ajax II,GoalsFest,"1,58",5,GREEN,,,TRUE,,
18/01/2025 00:00,PEC Zwolle - PSV,GoalsFest,"1,88",5,GREEN,,,TRUE,,
19/01/2025 00:00,Herenveen - Ajax,GoalsFest,2,5,RED,,,TRUE,,
22/01/2025 00:00,Crvena Zvezda - PSV,GoalsFest,"1,72",5,GREEN,,,TRUE,,
22/01/2025 00:00,Feyenoord - Bayern,GoalsFest,"1,8",5,RED,,,TRUE,,
24/01/2025 00:00,Vitesse - Dordrecht,GoalsFest,"1,68",5,RED,,,TRUE,,
25/01/2025 00:00,Koln - Elversberg,GoalsFest,"1,83",5,RED,,,TRUE,,
25/01/2025 00:00,PSV - NAC Breda,GoalsFest,2,5,GREEN,,,TRUE,,
29/01/2025 00:00,Man City - Club Brugge,GoalsFest,"1,93",5,GREEN,,,TRUE,,
30/01/2025 00:00,Anderlecht - Hoffenheim,GoalsFest,"1,92",5,GREEN,,,TRUE,,
01/02/2025 00:00,Omonia - Karmiotissa,GoalsFest,"2,36",5,RED,,,TRUE,,
02/02/2025 00:00,Backa Topola - Crvena zvezda,GoalsFest,"2,1",5,GREEN,,,TRUE,,
02/02/2025 00:00,Ajax - Feyenoord,GoalsFest,"1,9",5,GREEN,,,TRUE,,
08/02/2025 00:00,PSV Eindhoven - Willem II,GoalsFest,"2,15",5,RED,,,TRUE,,
09/02/2025 00:00,Karmiotissa Polemidion - Ethnikos Achna,GoalsFest,"1,9",5,RED,,,TRUE,,
09/02/2025 00:00,Alanyaspor - Fenerbahçe,GoalsFest,"2,1",5,RED,,,TRUE,,
10/02/2025 00:00,Jong Ajax - SBV Excelsior,GoalsFest,"1,72",5,GREEN,,,TRUE,,
10/02/2025 00:00,Vitesse - FC Emmen,GoalsFest,"1,78",5,RED,,,TRUE,,
12/02/2025 00:00,Real Madrid - Borussia Dortmund,GoalsFest,"1,72",5,RED,,,TRUE,,
15/02/2025 00:00,FC Emmen - FC Volendam,GoalsFest,"1,72",5,GREEN,,,TRUE,,